Bmod_probe,Bmod_std_probe,Bx_probe,Bx_std_probe,By_probe,By_std_probe,Bz_probe,Bz_std_probe,current_x_coil,current_y_coil,current_z_coil,Bmod_linear,slope,intercept
-0.06164253165942913,0.00037091526156903584,0.010905730897009802,0.00032459238595786057,-0.004546096345514981,-7.13494857421189e-05,-0.06049958471760797,-6.37866843151997e-05,-80.38,0.0,0.0,-0.06643475846187678,0.0007826239771925043,-0.0035274431751433
-0.04620522691121672,0.00025060059388048355,0.014269518272425646,0.00020658757700401948,-0.003330980066445211,-7.971330381573074e-05,-0.043820182724252546,-2.4796144037562366e-05,-60.33,0.0,0.0,-0.05074314771916708,0.0007826239771925043,-0.0035274431751433
-0.029517174778073692,0.000161866328906034,0.004857558139534979,0.00013997247330118506,-0.0018343023255814155,2.1335484840633284e-05,-0.029056893687707808,3.828019865898891e-05,-40.11,0.0,0.0,-0.03491849090033465,0.0007826239771925043,-0.0035274431751433
-0.0112791067314898,0.00024899349896384754,0.0015294850498339396,0.00025726650494005236,-0.0017919435215946796,-4.535125969675445e-05,-0.011030315614618098,0.00015867140929205032,-20.2,0.0,0.0,-0.019336447514431886,0.0007826239771925043,-0.0035274431751433
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035274431751433,0.0007826239771925043,-0.0035274431751433
0.019281525179334073,0.00020588910103999788,0.004109219269103043,0.00011582068954873971,0.0017769933554817232,-2.3552195694854453e-05,0.018754568106312125,-2.121913307731897e-05,20.13,0.0,0.0,0.012226777485741809,0.0007826239771925043,-0.0035274431751433
0.028520681831552885,2.4143395910500905e-05,-0.0021125415282393922,2.7340591577059738e-06,0.000617524916943505,4.6668432812928436e-05,0.028435631229235772,1.1498564734381198e-05,40.43,0.0,0.0,0.02811404422274965,0.0007826239771925043,-0.0035274431751433
0.04846237634806956,-8.112275389880654e-05,0.00405107973421906,2.072963093045733e-05,0.0035236710963454897,-8.226994413381913e-05,0.04816403654485067,-0.00015822936149745065,60.4,0.0,0.0,0.043743045047283956,0.0007826239771925043,-0.0035274431751433
0.06160620837229527,9.959864865653105e-05,-1.7857142857208297e-05,7.046071009409512e-05,0.003267026578073073,-5.6903959264342514e-05,0.061519518272425355,-1.5339824452161987e-05,80.07,0.0,0.0,0.05913725867866051,0.0007826239771925043,-0.0035274431751433
0.08069869108790842,8.194013179045525e-05,0.00031104651162824903,7.994868283641874e-05,0.004909883720930215,8.132717049770316e-05,0.08054858803986709,6.168342147155285e-05,100.3,0.0,0.0,0.07496974173726488,0.0007826239771925043,-0.0035274431751433
0.09674672855797746,0.00012531202144202723,0.0004348006644518676,4.115487678020384e-05,0.005090946843853812,7.809899429744036e-05,0.09661171096345525,9.295968121924821e-05,120.17,0.0,0.0,0.09052048016407994,0.0007826239771925043,-0.0035274431751433
0.11134679769869467,1.4925757714626987e-06,-0.005399916943521349,9.058028042164103e-05,0.007115033222591336,3.333902829993256e-05,0.11098795681063117,-0.00013078264819774968,140.5,0.0,0.0,0.10643122562040357,0.0007826239771925043,-0.0035274431751433
0.12376207995623345,0.00020122363334606303,0.0027786544850497974,0.00032845264789465407,0.006559385382059778,2.1816889202727965e-07,0.1235568936877075,-1.848828170559905e-05,160.03,0.0,0.0,0.12171587189497317,0.0007826239771925043,-0.0035274431751433
0.13623319654825422,1.4968907927526316e-05,-0.006151578073089664,-3.7629384625456445e-05,0.008407392026578048,4.5874728180519356e-05,0.13583430232558116,3.0812413294679583e-06,180.01,0.0,0.0,0.13735269895927937,0.0007826239771925043,-0.0035274431751433
0.14212184575327722,0.0001632162713672133,0.001474667774086308,7.905923059159901e-05,0.009747923588039834,5.573101219061641e-05,0.1417794850498341,1.9701181556022393e-05,200.07,0.0,0.0,0.15305213594176104,0.0007826239771925043,-0.0035274431751433
0.15957745012328922,0.0001040561815193494,0.005360880398671247,0.00015752171681754183,0.010006229235880364,0.00011392011949436535,0.1591731727574751,-7.506791072731805e-05,220.72,0.0,0.0,0.16921332107078624,0.0007826239771925043,-0.0035274431751433
0.17534667709171176,0.00011139306766519072,-0.0005901162790697134,0.00012161379138692129,0.011051079734219236,-7.07033084171825e-06,0.17499709302325606,8.792467817292414e-05,240.06,0.0,0.0,0.18434926878968927,0.0007826239771925043,-0.0035274431751433
0.19501749095085497,3.604048895266719e-05,-0.006526993355481708,7.755381815112905e-05,0.013190614617940164,5.733198391659044e-05,0.19446137873754077,-8.570367923785554e-05,260.36,0.0,0.0,0.20023653552669712,0.0007826239771925043,-0.0035274431751433
0.21007956856785193,0.00030813687186380346,-0.0025286544850498527,0.0003428855130262337,0.012948920265780694,0.00019730966564955512,0.209664867109634,9.250966269605141e-05,280.73,0.0,0.0,0.21617858594210843,0.0007826239771925043,-0.0035274431751433
